General,Name,Hex,RGB
Red HTML,IndianRed,#CD5C5C,"rgb(205, 92, 92"
Red HTML,LightCoral,#F08080,"rgb(240, 128, 128"
Red HTML,Salmon,#FA8072,"rgb(250, 128, 114"
Red HTML,DarkSalmon,#E9967A,"rgb(233, 150, 122"
Red HTML,LightSalmon,#FFA07A,"rgb(255, 160, 122"
Red HTML,Crimson,#DC143C,"rgb(220, 20, 60"
Red HTML,Red,#FF0000,"rgb(255, 0, 0"
Red HTML,FireBrick,#B22222,"rgb(178, 34, 34"
Red HTML,DarkRed,#8B0000,"rgb(139, 0, 0"
Pink HTML,Pink,#FFC0CB,"rgb(255, 192, 203"
Pink HTML,LightPink,#FFB6C1,"rgb(255, 182, 193"
Pink HTML,HotPink,#FF69B4,"rgb(255, 105, 180"
Pink HTML,DeepPink,#FF1493,"rgb(255, 20, 147"
Pink HTML,MediumVioletRed,#C71585,"rgb(199, 21, 133"
Pink HTML,PaleVioletRed,#DB7093,"rgb(219, 112, 147"
Orange HTML,LightSalmon,#FFA07A,"rgb(255, 160, 122"
Orange HTML,Coral,#FF7F50,"rgb(255, 127, 80"
Orange HTML,Tomato,#FF6347,"rgb(255, 99, 71"
Orange HTML,OrangeRed,#FF4500,"rgb(255, 69, 0"
Orange HTML,DarkOrange,#FF8C00,"rgb(255, 140, 0"
Orange HTML,Orange,#FFA500,"rgb(255, 165, 0"
Yellow HTML,Gold,#FFD700,"rgb(255, 215, 0"
Yellow HTML,Yellow,#FFFF00,"rgb(255, 255, 0"
Yellow HTML,LightYellow,#FFFFE0,"rgb(255, 255, 224"
Yellow HTML,LemonChiffon,#FFFACD,"rgb(255, 250, 205"
Yellow HTML,LightGoldenrodYellow,#FAFAD2,"rgb(250, 250, 210"
Yellow HTML,PapayaWhip,#FFEFD5,"rgb(255, 239, 213"
Yellow HTML,Moccasin,#FFE4B5,"rgb(255, 228, 181"
Yellow HTML,PeachPuff,#FFDAB9,"rgb(255, 218, 185"
Yellow HTML,PaleGoldenrod,#EEE8AA,"rgb(238, 232, 170"
Yellow HTML,Khaki,#F0E68C,"rgb(240, 230, 140"
Yellow HTML,DarkKhaki,#BDB76B,"rgb(189, 183, 107"
Purple HTML,Lavender,#E6E6FA,"rgb(230, 230, 250"
Purple HTML,Thistle,#D8BFD8,"rgb(216, 191, 216"
Purple HTML,Plum,#DDA0DD,"rgb(221, 160, 221"
Purple HTML,Violet,#EE82EE,"rgb(238, 130, 238"
Purple HTML,Orchid,#DA70D6,"rgb(218, 112, 214"
Purple HTML,Fuchsia,#FF00FF,"rgb(255, 0, 255"
Purple HTML,Magenta,#FF00FF,"rgb(255, 0, 255"
Purple HTML,MediumOrchid,#BA55D3,"rgb(186, 85, 211"
Purple HTML,MediumPurple,#9370DB,"rgb(147, 112, 219"
